Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
Pedro Gonçalves,Pedro António Pereira Gonçalves,81,39000000,"RW,LW,CF",CAM,Portugal,24,Sporting CP
M. Taremi,Mehdi Taremi,81,25500000,"ST,CF",ST,Iran,29,FC Porto
Rodrygo,Rodrygo Silva de Goes,81,52500000,"RW,LW",RM,Brazil,21,Real Madrid CF
E. Tapsoba,Edmond Tapsoba,81,35000000,CB,CB,Burkina Faso,23,Bayer 04 Leverkusen
D. Kulusevski,Dejan Kulusevski,81,41500000,"RW,CF",CAM,Sweden,22,Tottenham Hotspur
Bruno Guimarães,Bruno Guimarães Moura,81,38500000,"CM,CDM",CM,Brazil,24,Newcastle United
J. Gvardiol,Joško Gvardiol,81,53000000,"CB,LB",CB,Croatia,20,RB Leipzig
J. Musiala,Jamal Musiala,81,55500000,"CM,LM,CAM",CAM,Germany,19,FC Bayern München
S. Obisanya,Sam Obisanya,81,52500000,"RM,RB",RM,Nigeria,22,AFC Richmond
Pablo Sarabia,Pablo Sarabia García,81,25000000,"RW,CAM,LW",RW,Spain,30,Paris Saint-Germain
Marc Bartra,Marc Bartra Aregall,81,17500000,CB,CB,Spain,31,Trabzonspor
Felipe,Felipe Augusto de Almeida Monteiro,81,12500000,CB,CB,Brazil,33,Atlético de Madrid
H. Maguire,Harry Maguire,81,24000000,CB,CB,England,29,Manchester United
Heberto Gaúcho,Juan Heberto Mestres de Mesquita,81,24500000,"CB,CDM",CB,Brazil,26,Clube Atlético Mineiro
Oswaldinato,Marvin Oswaldo Rangel Azevedo,81,25500000,ST,ST,Brazil,30,Flamengo
Nailton Padrenda,Nailton Padrenda Mendes,81,28000000,"CAM,CF,ST",CAM,Brazil,26,Clube Atlético Mineiro
Welington Dano,Welington Kauê Dano Nascimento,81,27500000,"LB,LM",LB,Brazil,22,Clube Atlético Mineiro
Adriano Bisesi,Louri Adriano Bisesi Barbosa,81,25500000,"ST,CF",ST,Brazil,30,RB Bragantino
Rosival Dourado,Rosival Jailson Dourado Santos,81,27000000,"CDM,CM,CAM",CDM,Brazil,22,Sport Club Corinthians Paulista
Adryan Zonta,Adryan Juliano Zonta Torres,81,22000000,"LWB,LB",LWB,Brazil,30,RB Bragantino
G. Mancini,Gianluca Mancini,81,28000000,CB,CB,Italy,26,Roma
G. Rodríguez,Guido Rodríguez,81,26500000,CDM,CDM,Argentina,27,Real Betis Balompié
D. Upamecano,Dayot Upamecano,81,37000000,CB,CB,France,23,FC Bayern München
Palhinha,João Maria Palhinha Gonçalves,81,28500000,"CDM,CM",CB,Portugal,26,Fulham
D. Zakaria,Denis Zakaria,81,34500000,"CDM,CM",CDM,Switzerland,25,Chelsea
M. Akanji,Manuel Akanji,81,26500000,CB,CB,Switzerland,26,Manchester City
A. Zambo Anguissa,André-Franck Zambo Anguissa,81,28500000,"CDM,CM",CDM,Cameroon,26,Napoli
K. Tierney,Kieran Tierney,81,33000000,LB,LWB,Scotland,25,Arsenal
M. Rashford,Marcus Rashford,81,37000000,"LW,ST",ST,England,24,Manchester United
Richarlison,Richarlison de Andrade,81,34500000,"ST,LW",ST,Brazil,25,Tottenham Hotspur
Gabriel,Gabriel dos S. Magalhães,81,37000000,CB,CB,Brazil,24,Arsenal
H. Mkhitaryan,Henrikh Mkhitaryan,81,16000000,"CAM,CM",CAM,Armenia,33,Inter
N. Otamendi,Nicolás Otamendi,81,8500000,CB,CB,Argentina,34,SL Benfica
M. Götze,Mario Götze,81,25000000,"CAM,ST,CM",CAM,Germany,30,Eintracht Frankfurt
C. Smalling,Chris Smalling,81,16500000,CB,CB,England,32,Roma
N. Pope,Nick Pope,81,17000000,GK,GK,England,30,Newcastle United
Rafael Tolói,Rafael Tolói,81,17500000,CB,CB,Italy,31,Atalanta
E. Cavani,Edinson Cavani,81,11000000,ST,ST,Uruguay,35,Valencia CF
É. Banega,Éver Banega,81,12000000,"CM,CDM,CAM",CM,Argentina,34,Al Shabab
Adán,Antonio Adán Garrido,81,2900000,GK,GK,Spain,35,Sporting CP
G. Bale,Gareth Bale,81,20500000,"RW,RM",ST,Wales,32,Los Angeles FC
J. Vertonghen,Jan Vertonghen,81,7000000,CB,CB,Belgium,35,RSC Anderlecht
C. Vela,Carlos Vela,81,16000000,"RW,LW,CAM",RW,Mexico,33,Los Angeles FC
João Moutinho,João Filipe Moutinho,81,10500000,CM,CM,Portugal,35,Wolverhampton Wanderers
Pepe,Képler Laveran Lima Ferreira,81,4600000,CB,CB,Portugal,39,FC Porto
G. Lo Celso,Giovani Lo Celso,81,31500000,"CM,ST,LM",CAM,Argentina,26,Villarreal CF
Oscar,Oscar dos Santos Emboaba,81,25000000,"CAM,CM,LW",CAM,Brazil,30,Shanghai Port FC
J. Gomez,Joe Gomez,81,34000000,"CB,RB",CB,England,25,Liverpool
José Sá,José Pedro Malheiro de Sá,81,20000000,GK,GK,Portugal,29,Wolverhampton Wanderers
Borja Iglesias,Borja Iglesias Quintás,81,25500000,ST,ST,Spain,29,Real Betis Balompié
J. Ward-Prowse,James Ward-Prowse,81,29500000,CM,CM,England,27,Southampton
L. Ocampos,Lucas Ocampos,81,27500000,"RW,LW",RW,Argentina,27,Ajax
E. Višća,Edin Višća,81,20500000,"RM,RW",RM,Bosnia and Herzegovina,32,Trabzonspor
T. Savanier,Téji Savanier,81,25000000,"CAM,CM",CAM,France,30,Montpellier Hérault SC
E. Forsberg,Emil Forsberg,81,25000000,"CAM,CF,ST",CAM,Sweden,30,RB Leipzig
Lucas Vázquez,Lucas Vázquez Iglesias,81,18500000,"RB,RW",RB,Spain,31,Real Madrid CF
G. Laborde,Gaëtan Laborde,81,26500000,ST,ST,France,28,OGC Nice
J. Hofmann,Jonas Hofmann,81,25500000,"CAM,RM,LM",CAM,Germany,29,Borussia Mönchengladbach
N. Tagliafico,Nicolás Tagliafico,81,22500000,LB,LB,Argentina,29,Olympique Lyonnais
K. Demirbay,Kerem Demirbay,81,25500000,"CM,CDM,CAM",CM,Germany,28,Bayer 04 Leverkusen
O. Vlachodimos,Odisseas Vlachodimos,81,22000000,GK,GK,Greece,28,SL Benfica
V. Grifo,Vincenzo Grifo,81,25500000,"LM,CF",LM,Italy,29,Sport-Club Freiburg
R. Andrich,Robert Andrich,81,26500000,"CDM,CM",CDM,Germany,27,Bayer 04 Leverkusen
R. Le Normand,Robin Le Normand,81,34000000,CB,CB,France,25,Real Sociedad
Ricardo Horta,Ricardo Jorge da Luz Horta,81,28000000,"CF,ST,LW",CF,Portugal,27,SC Braga
S. Lobotka,Stanislav Lobotka,81,29500000,"CM,CDM",CM,Slovakia,27,Napoli
K. Phillips,Kalvin Phillips,81,32000000,"CDM,CM",CDM,England,26,Manchester City
M. Uribe,Mateus Uribe,81,21000000,"CM,CDM",CM,Colombia,31,FC Porto
L. Torreira,Lucas Torreira,81,28500000,"CDM,CM",CDM,Uruguay,26,Galatasaray SK
M. Pašalić,Mario Pašalić,81,27500000,"CAM,CF,CM",CAM,Croatia,27,Atalanta
N. Keïta,Naby Keïta,81,29500000,CM,CAM,Guinea,27,Liverpool
C. Tolisso,Corentin Tolisso,81,27500000,"CM,CDM",CM,France,27,Olympique Lyonnais
H. Lozano,Hirving Lozano,81,28000000,RW,RW,Mexico,26,Napoli
M. Politano,Matteo Politano,81,26000000,"RW,RM",RW,Italy,28,Napoli
A. Saint-Maximin,Allan Saint-Maximin,81,32500000,LM,CAM,France,25,Newcastle United
S. Fofana,Seko Fofana,81,27500000,CM,CM,Côte d'Ivoire,27,Racing Club de Lens
Iñaki Williams,Iñaki Williams Arthuer,81,26500000,ST,ST,Ghana,28,Athletic Club de Bilbao
J. Musso,Juan Musso,81,20500000,GK,GK,Argentina,28,Atalanta
B. Bourigeaud,Benjamin Bourigeaud,81,26000000,"RW,RM,LM",RW,France,28,Stade Rennais FC
Y. En-Nesyri,Youssef En-Nesyri,80,31500000,ST,ST,Morocco,25,Sevilla FC
Javi Galán,Javier Galán Gil,80,20500000,LB,LB,Spain,27,RC Celta de Vigo
F. Neuhaus,Florian Neuhaus,80,29000000,CM,CM,Germany,25,Borussia Mönchengladbach
H. Barnes,Harvey Barnes,80,29000000,"LM,LW",CAM,England,24,Leicester City
A. Isak,Alexander Isak,80,33000000,ST,ST,Sweden,22,Newcastle United
L. Sinisterra,Luis Sinisterra,80,33500000,"LW,LM",LW,Colombia,23,Leeds United
X. Schlager,Xaver Schlager,80,27500000,"CDM,CM",CDM,Austria,24,RB Leipzig
D. Kamada,Daichi Kamada,80,26500000,"CAM,CF",CAM,Japan,25,Eintracht Frankfurt
M. Arambarri,Mauro Arambarri,80,28000000,"CDM,CM",CDM,Uruguay,26,Getafe CF
A. Lafont,Alban Lafont,80,25500000,GK,GK,France,23,FC Nantes
Maikel Catarino,Maikel Renan Catarino Fagundes,80,21000000,"RB,RM",RB,Brazil,26,Sport Club Corinthians Paulista
Renato Sanches,Renato Júnior Luz Sanches,80,31500000,"CM,RM",CAM,Portugal,24,Paris Saint-Germain
Arthur,Arthur Henrique Ramos Oliveira Melo,80,26500000,"CM,CDM",CM,Brazil,25,Liverpool
Tony Abranjes,Tony Josimar Abranjes Meneses,80,7000000,CB,CB,Brazil,34,Internacional
Laure Santeiro,Laureano Thomas Santeiro Marre,80,25000000,"CAM,LM,LW",CAM,Brazil,22,Fluminense
Héniton Pires,Héniton Enaldo Pires Tramontino,80,16500000,GK,GK,Brazil,26,Flamengo
M. Guendouzi,Mattéo Guendouzi,80,33000000,"CM,CDM",CDM,France,23,Olympique de Marseille
L. Bailey,Leon Bailey,80,29000000,"RM,RW,LW",CAM,Jamaica,24,Aston Villa
A. Wan-Bissaka,Aaron Wan-Bissaka,80,26500000,RB,RB,England,24,Manchester United
D. Sow,Djibril Sow,80,26500000,"CM,CDM",CM,Switzerland,25,Eintracht Frankfurt
Mario Hermoso,Mario Hermoso Canseco,80,22500000,"CB,LB",CB,Spain,27,Atlético de Madrid
D. Calabria,Davide Calabria,80,25500000,RB,RB,Italy,25,AC Milan
E. Álvarez,Edson Álvarez,80,27500000,"CDM,CM",CB,Mexico,24,Ajax
T. Koopmeiners,Teun Koopmeiners,80,30000000,"CM,CDM",CM,Netherlands,24,Atalanta
B. Kamara,Boubacar Kamara,80,31000000,CDM,CDM,France,22,Aston Villa
V. Tsygankov,Viktor Tsygankov,80,32000000,RM,CAM,Ukraine,24,Dynamo Kyiv
M. Dmitrović,Marko Dmitrović,80,16000000,GK,GK,Serbia,30,Sevilla FC
I. McAdoo,Isaac McAdoo,80,24500000,CB,CB,England,26,AFC Richmond
J. Frimpong,Jeremie Frimpong,80,31500000,"RB,RWB",RM,Netherlands,21,Bayer 04 Leverkusen
Nuno Mendes,Nuno Alexandre Tavares Mendes,80,44000000,"LB,LWB",LB,Portugal,20,Paris Saint-Germain
S. Botman,Sven Botman,80,31000000,CB,CB,Netherlands,22,Newcastle United
J. Timber,Jurriën Timber,80,44500000,"CB,RB",CB,Netherlands,21,Ajax
Renan Lodi,Renan Augusto Lodi dos Santos,80,29500000,"LB,LM",LWB,Brazil,24,Nottingham Forest
Reguilón,Sergio Reguilón Rodríguez,80,25500000,"LWB,LB",LWB,Spain,25,Atlético de Madrid
V. Coufal,Vladimír Coufal,80,18500000,"RB,RWB",RB,Czech Republic,29,West Ham United
A. Rrahmani,Amir Rrahmani,80,18000000,CB,CB,Kosovo,28,Napoli
S. McTominay,Scott McTominay,80,25000000,"CDM,CM",CDM,Scotland,25,Manchester United
L. Majer,Lovro Majer,80,31500000,CM,CAM,Croatia,24,Stade Rennais FC
W. Saliba,William Saliba,80,40000000,CB,CB,France,21,Arsenal
D. Livaković,Dominik Livaković,80,20500000,GK,GK,Croatia,27,Dinamo Zagreb
R. Baku,Ridle Baku,80,30000000,"RM,RB,CM",RM,Germany,24,VfL Wolfsburg
N. González,Nicolás González,80,32000000,"RW,LW",LM,Argentina,24,Fiorentina
E. Smith Rowe,Emile Smith Rowe,80,43000000,"LM,CAM",CAM,England,21,Arsenal
J. Clauss,Jonathan Clauss,80,18500000,RWB,RWB,France,29,Olympique de Marseille
W. McKennie,Weston McKennie,80,31500000,"CM,LM",CM,United States,23,Juventus
N. Milenković,Nikola Milenković,80,29000000,CB,CB,Serbia,24,Fiorentina
N. Aguerd,Nayef Aguerd,80,24500000,CB,CB,Morocco,26,West Ham United
Nélson Semedo,Nélson Cabral Semedo,80,19000000,"RWB,RB",RWB,Portugal,28,Wolverhampton Wanderers
C. Aránguiz,Charles Aránguiz,80,10500000,"CDM,CM",CDM,Chile,33,Bayer 04 Leverkusen
Lucas Moura,Lucas Rodrigues M. Silva,80,20500000,RW,RW,Brazil,29,Tottenham Hotspur
Jonathan Viera,Jonathan Viera Ramos,80,16500000,"CAM,CM,LM",CAM,Spain,32,Unión Deportiva Las Palmas
Danilo,Danilo Luiz da Silva,80,18000000,RB,RB,Brazil,30,Juventus
Sergi Roberto,Sergio Roberto Carnicer,80,18000000,"RB,CM",RB,Spain,30,FC Barcelona
Allan,Allan Marques Loureiro,80,15000000,"CDM,CM",CDM,Brazil,31,Everton
J. Cillessen,Jasper Cillessen,80,7000000,GK,GK,Netherlands,33,N.E.C. Nijmegen
H. Vanaken,Hans Vanaken,80,20500000,"CM,CAM",CM,Belgium,29,Club Brugge KV
S. Ortega,Stefan Ortega,80,14500000,GK,GK,Germany,29,Manchester City
Danilo Pereira,Danilo Luís Hélio Pereira,80,17500000,"CDM,CM",CDM,Portugal,30,Paris Saint-Germain
Morata,Álvaro Borja Morata Martín,80,21000000,ST,ST,Spain,29,Atlético de Madrid
L. Shaw,Luke Shaw,80,22500000,LB,LB,England,26,Manchester United
C. Biraghi,Cristiano Biraghi,80,18500000,LB,LB,Italy,29,Fiorentina
E. Dier,Eric Dier,80,20000000,CB,CB,England,28,Tottenham Hotspur
Deulofeu,Gerard Deulofeu Lázaro,80,21500000,"CF,ST",RW,Spain,28,Udinese Calcio
T. Hazard,Thorgan Hazard,80,20500000,"LM,CF",LM,Belgium,29,Borussia Dortmund
T. Vaclík,Tomáš Vaclík,80,0,GK,GK,Czech Republic,33,Free agent
Edgar Badia,Edgar Badia Guardiola,80,16000000,GK,GK,Spain,30,Elche CF
K. Zouma,Kurt Zouma,80,22500000,CB,CB,France,27,West Ham United
M. Sabitzer,Marcel Sabitzer,80,21000000,"CM,CDM,CAM",CM,Austria,28,FC Bayern München
K. Kampl,Kevin Kampl,80,17500000,"CM,CDM",CM,Slovenia,31,RB Leipzig
A. Delort,Andy Delort,80,20500000,ST,ST,Algeria,30,OGC Nice
B. Leno,Bernd Leno,80,14000000,GK,GK,Germany,30,Fulham
Alex Sandro,Alex Sandro Lobo Silva,80,15500000,LB,LB,Brazil,31,Juventus
Yeray,Yeray Álvarez López,80,22500000,CB,CB,Spain,27,Athletic Club de Bilbao
G. Ochoa,Guillermo Ochoa,80,0,GK,GK,Mexico,36,Free agent
H. Herrera,Héctor Herrera,80,16500000,CM,CM,Mexico,32,Houston Dynamo
A. Consigli,Andrea Consigli,80,2300000,GK,GK,Italy,35,U.S. Sassuolo Calcio
Raúl García,Raúl García Escudero,80,9000000,ST,CM,Spain,35,Athletic Club de Bilbao
José Fonte,José Miguel da Rocha Fonte,80,3800000,CB,CB,Portugal,38,LOSC Lille
M. Hamšík,Marek Hamšík,80,9500000,"CM,CDM,CAM",CM,Slovakia,34,Trabzonspor
A. Candreva,Antonio Candreva,80,8500000,"RM,CM",RM,Italy,35,US Salernitana 1919
S. Mignolet,Simon Mignolet,80,3600000,GK,GK,Belgium,34,Club Brugge KV
Joselu,José Luis Sanmartín Mato,80,17000000,ST,ST,Spain,32,RCD Espanyol de Barcelona
D. Ospina,David Ospina,80,7000000,GK,GK,Colombia,33,Al Nassr
E. Capoue,Etienne Capoue,80,13000000,"CM,CDM",CM,France,33,Villarreal CF
G. Wijnaldum,Georginio Wijnaldum,80,17500000,"CM,CDM",CM,Netherlands,31,Roma
M. Kruse,Max Kruse,80,10500000,"CF,CAM",CAM,Germany,34,VfL Wolfsburg
M. Darmian,Matteo Darmian,80,14500000,"RWB,RM",RWB,Italy,32,Inter
F. Coquelin,Francis Coquelin,80,17500000,"CM,LM,CDM",CM,France,31,Villarreal CF
D. Blind,Daley Blind,80,13500000,"CB,LB,CDM",CDM,Netherlands,32,Ajax
A. Cragno,Alessio Cragno,80,16500000,GK,GK,Italy,28,AC Monza
R. Freuler,Remo Freuler,80,20000000,"CM,CDM",CM,Switzerland,30,Nottingham Forest
M. Arnold,Maximilian Arnold,80,20500000,"CDM,CM",CM,Germany,28,VfL Wolfsburg
V. Lindelöf,Victor Lindelöf,80,21000000,CB,CDM,Sweden,27,Manchester United
Álex Moreno,Alexandre Moreno Lopera,80,18500000,LB,LB,Spain,29,Real Betis Balompié
M. Dahoud,Mahmoud Dahoud,80,26000000,"CM,CDM",CM,Germany,26,Borussia Dortmund
J. Ledesma,Jeremías Conan Ledesma,80,17500000,GK,GK,Argentina,29,Cádiz CF
H. Traoré,Hamari Traoré,80,18000000,RB,RB,Mali,30,Stade Rennais FC
A. Rebić,Ante Rebić,80,21000000,"LW,LM,ST",ST,Croatia,28,AC Milan
H. Hateboer,Hans Hateboer,80,19000000,"RWB,RB,RM",RWB,Netherlands,28,Atalanta
Kepa,Kepa Arrizabalaga,80,20500000,GK,GK,Spain,27,Chelsea
D. Calvert-Lewin,Dominic Calvert-Lewin,80,29500000,ST,ST,England,25,Everton
L. Klostermann,Lukas Klostermann,80,23000000,"CB,RWB",RB,Germany,26,RB Leipzig
J. Correa,Joaquín Correa,80,23000000,"CF,ST",RW,Argentina,27,Inter
R. Karsdorp,Rick Karsdorp,80,22000000,"RWB,RM,RB",RWB,Netherlands,27,Roma
Joan Jordán,Joan Jordán Moreno,80,22500000,"CM,CDM",CM,Spain,27,Sevilla FC
J. Bowen,Jarrod Bowen,80,28000000,"RM,ST",LM,England,25,West Ham United
Álex Berenguer,Alejandro Berenguer Remiro,80,23000000,"RM,LM",RM,Spain,26,Athletic Club de Bilbao
S. Bergwijn,Steven Bergwijn,80,32000000,"LW,RW",CAM,Netherlands,24,Ajax
E. Buendía,Emiliano Buendía,80,26500000,"RM,RW,CAM",CAM,Argentina,25,Aston Villa
U. Çakır,Uğurcan Çakır,80,22500000,GK,GK,Turkey,26,Trabzonspor
G. Scamacca,Gianluca Scamacca,80,33500000,ST,ST,Italy,23,West Ham United
Morales,José Luis Morales Nogales,80,10000000,"LM,ST",LM,Spain,34,Villarreal CF
M. Dúbravka,Martin Dúbravka,80,7000000,GK,GK,Slovakia,33,Manchester United
W. Benítez,Walter Benítez,80,17500000,GK,GK,Argentina,29,PSV
L. Paredes,Leandro Paredes,80,18500000,"CDM,CM",CDM,Argentina,28,Juventus
S. Azmoun,Sardar Azmoun,80,24500000,"ST,CAM",ST,Iran,27,Bayer 04 Leverkusen
William Carvalho,William Silva de Carvalho,80,17500000,CDM,CDM,Portugal,30,Real Betis Balompié
B. Cristante,Bryan Cristante,80,23000000,"CDM,CM",CM,Italy,27,Roma
Saúl,Saúl Ñíguez Esclápez,80,24000000,"CM,LM,LWB",CM,Spain,27,Atlético de Madrid
M. de Roon,Marten de Roon,80,15000000,"CDM,CM,CB",CB,Netherlands,31,Atalanta
A. Belotti,Andrea Belotti,80,21500000,ST,ST,Italy,28,Roma
Fred,Frederico de Paula Santos,80,20500000,"CM,CDM",CM,Brazil,29,Manchester United
C. Günter,Christian Günter,80,18500000,"LB,LM,LWB",LB,Germany,29,Sport-Club Freiburg
A. Rabiot,Adrien Rabiot,80,24000000,"CM,LM",CM,France,27,Juventus
Rui Silva,Rui Tiago Dantas da Silva,80,18000000,GK,GK,Portugal,28,Real Betis Balompié
A. Romagnoli,Alessio Romagnoli,80,19500000,CB,CB,Italy,27,Lazio
Carles Gil,Carles Gil Pareja,80,20500000,"CAM,RM",CAM,Spain,29,New England Revolution
A. Martial,Anthony Martial,80,28000000,"ST,LM",ST,France,26,Manchester United
M. Dembélé,Moussa Dembélé,80,28500000,ST,ST,France,25,Olympique Lyonnais
M. Flekken,Mark Flekken,80,16000000,GK,GK,Netherlands,29,Sport-Club Freiburg
Alex Telles,Alex Nicolao Telles,80,18500000,LB,LB,Brazil,29,Sevilla FC
A. Gouiri,Amine Gouiri,79,36000000,"ST,LM",CAM,France,22,Stade Rennais FC
N. Maksimović,Nemanja Maksimović,79,20000000,"CM,CDM",CM,Serbia,27,Getafe CF
Unai Núñez,Unai Núñez Gestoso,79,22000000,CB,CB,Spain,25,RC Celta de Vigo
O. Kökçü,Orkun Kökçü,79,35500000,"CM,CAM",CAM,Turkey,21,Feyenoord
A. Nwakaeme,Anthony Nwakaeme,79,11000000,LM,LM,Nigeria,33,Al Fayha
Luis Milla,Luis Milla Manzanares,79,19000000,"CDM,CM",CDM,Spain,27,Getafe CF
T. Malacia,Tyrell Malacia,79,26500000,LB,LWB,Netherlands,22,Manchester United
J. David,Jonathan David,79,28500000,ST,ST,Canada,22,LOSC Lille
C. Gallagher,Conor Gallagher,79,35500000,CM,CM,England,22,Chelsea
A. Sánchez,Alexis Sánchez,79,11000000,"CF,ST",CAM,Chile,33,Olympique de Marseille
P. Estupiñán,Pervis Estupiñán,79,23500000,"LB,LWB",LB,Ecuador,24,Brighton & Hove Albion
J. Foyth,Juan Foyth,79,24500000,"RB,CB,CDM",CB,Argentina,24,Villarreal CF
Kim Min Jae,Min Jae Kim,79,23000000,CB,CB,Korea Republic,25,Napoli
D. Szoboszlai,Dominik Szoboszlai,79,39500000,"CAM,LM",CAM,Hungary,21,RB Leipzig
David Neres,David Neres Campos,79,23000000,"RW,LW,CAM",CAM,Brazil,25,SL Benfica
A. Ogbonna,Angelo Ogbonna,79,5500000,CB,CB,Italy,34,West Ham United
J. Boateng,Jérôme Boateng,79,8500000,CB,CB,Germany,33,Olympique Lyonnais
Y. Fofana,Youssouf Fofana,79,24500000,"CDM,CM",CDM,France,23,AS Monaco
L. Stindl,Lars Stindl,79,11000000,CAM,CAM,Germany,33,Borussia Mönchengladbach
Luís Maximiano,Luís Manuel Arantes Maximiano,79,22500000,GK,GK,Portugal,23,Lazio
Diego López,Diego López Rodríguez,79,1900000,GK,GK,Spain,40,Rayo Vallecano
R. Gravenberch,Ryan Gravenberch,79,38500000,CM,CAM,Netherlands,20,FC Bayern München
Ansu Fati,Anssumane Fati,79,38000000,LW,CAM,Spain,19,FC Barcelona
Pedro,Pedro Rodríguez Ledesma,79,8000000,"LW,RW,CF",CAM,Spain,34,Lazio
G. Goodman,George Goodman,79,15500000,LB,LB,England,29,AFC Richmond
M. Bumbercatch,Moe Bumbercatch,79,23000000,"CM,CDM,CAM",CM,England,25,AFC Richmond
Gavi,Pablo Martín Páez Gavira,79,36000000,"CM,LW,RW",CAM,Spain,17,FC Barcelona
Yeremy Pino,Yeremy Jesús Pino Santos,79,38000000,"RM,ST",CAM,Spain,19,Villarreal CF
Gonçalo Inácio,Gonçalo Bernardo Inácio,79,36000000,CB,CB,Portugal,20,Sporting CP
Vitinha,Vítor Machado Ferreira,79,39500000,"CM,CAM",CAM,Portugal,22,Paris Saint-Germain
Matheus Nunes,Matheus Luiz Nunes,79,35000000,CM,CAM,Portugal,23,Wolverhampton Wanderers
G. Raspadori,Giacomo Raspadori,79,36000000,"CF,CAM,LM",CAM,Italy,22,Napoli
S. Chukwueze,Samuel Chukwueze,79,27500000,"RM,RW",LM,Nigeria,23,Villarreal CF
A. Musrati,Ali Musrati,79,22000000,"CDM,CM",CDM,Libya,26,SC Braga
Beto,Norberto Gomes Betuncal,79,24500000,ST,ST,Portugal,24,Udinese Calcio
W. Fofana,Wesley Fofana,79,33000000,CB,CB,France,21,Chelsea
E. Camavinga,Eduardo Camavinga,79,38000000,"CM,CDM",CDM,France,19,Real Madrid CF
Zubimendi,Martín Zubimendi Ibáñez,79,35000000,"CM,CDM",CM,Spain,23,Real Sociedad
Ibañez,Roger Ibañez Da Silva,79,22500000,CB,CB,Brazil,23,Roma
M. Caqueret,Maxence Caqueret,79,26000000,"CDM,CM",CM,France,22,Olympique Lyonnais
B. Dia,Boulaye Dia,79,24500000,"ST,RW",ST,Senegal,25,US Salernitana 1919
M. Lanzini,Manuel Lanzini,79,17000000,"CAM,CM",CAM,Argentina,29,West Ham United
Guaita,Vicente Guaita Panadero,79,1900000,GK,GK,Spain,35,Crystal Palace
A. Talavera,Alfredo Talavera,79,0,GK,GK,Mexico,39,Free agent
R. Bentancur,Rodrigo Bentancur,79,24500000,CM,CDM,Uruguay,25,Tottenham Hotspur
G. Montiel,Gonzalo Montiel,79,20000000,"RB,RWB",RWB,Argentina,25,Sevilla FC
L. Blas,Ludovic Blas,79,25000000,"CAM,RM,ST",CAM,France,24,FC Nantes
Matheus Reis,Matheus Reis de Lima,79,20000000,"CB,LB,LWB",CB,Brazil,27,Sporting CP
Luimo Boas Santos,Luan Vágner Boas Macedo,79,21000000,ST,CF,Brazil,22,Santos
Gabri Prestão,Bernard Gabriel Prestão Chaves,79,11500000,GK,GK,Brazil,30,Internacional
Melvin Parrela,Melvin Luan Parrela Porfírio,79,18500000,CDM,CB,Brazil,22,RB Bragantino
Jorge Andrão,Everton Jorge Andrade Zanon,79,17000000,"CDM,CM",CDM,Brazil,26,Fluminense
Adnan Vidual,Adnan Claudiano Vidual Machado,79,15000000,RB,RB,Brazil,30,Internacional
Diego Essler,Ronaldo Diego Essler Domingues,79,19000000,"LB,LM",LB,Brazil,22,Clube Atlético Mineiro
Emelvinson,Emelvin William Anjos Rochedo,79,3000000,GK,GK,Brazil,34,RB Bragantino
E. Ávila,Ezequiel Ávila,79,18000000,"ST,RM",ST,Argentina,28,CA Osasuna
O. Zinchenko,Oleksandr Zinchenko,79,21500000,LB,CM,Ukraine,25,Arsenal
E. Konsa,Ezri Konsa,79,32500000,CB,CB,England,24,Aston Villa
A. Rossi,Agustín Rossi,79,19000000,GK,GK,Argentina,26,Boca Juniors
D. Sánchez,Davinson Sánchez,79,18000000,CB,CB,Colombia,26,Tottenham Hotspur
M. Cash,Matty Cash,79,24500000,"RB,RWB",RWB,Poland,24,Aston Villa
B. Pavard,Benjamin Pavard,79,20000000,"RB,CB",CB,France,26,FC Bayern München
Pablo Fornals,Pablo Fornals Malla,79,21500000,"CAM,LM",CM,Spain,26,West Ham United
N. Mukiele,Nordi Mukiele,79,23500000,"RWB,CB",CB,France,24,Paris Saint-Germain
N. Pépé,Nicolas Pépé,79,18500000,RM,LW,Côte d'Ivoire,27,OGC Nice
A. Golovin,Alexandr Golovin,79,20500000,"LM,RM,CAM",CAM,Russia,26,AS Monaco
David García,David García Zubiria,79,17500000,CB,CB,Spain,28,CA Osasuna
E. Skhiri,Ellyes Skhiri,79,18000000,"CDM,CM",CDM,Tunisia,27,1. FC Köln
A. Marušić,Adam Marušić,79,15500000,"LB,RB",LB,Montenegro,29,Lazio
W. Weghorst,Wout Weghorst,79,17500000,ST,ST,Netherlands,29,Beşiktaş JK
J. Omlin,Jonas Omlin,79,15000000,GK,GK,Switzerland,28,Montpellier Hérault SC
J. Weigl,Julian Weigl,79,20500000,"CM,CDM",CDM,Germany,26,Borussia Mönchengladbach
D. van de Beek,Donny van de Beek,79,25500000,"CM,CDM,CAM",CAM,Netherlands,25,Manchester United
D. Malen,Donyell Malen,79,28000000,"ST,LM",ST,Netherlands,23,Borussia Dortmund
Rafa Mir,Rafael Mir Vicente,79,26000000,ST,ST,Spain,25,Sevilla FC
B. White,Benjamin White,79,32500000,CB,CDM,England,24,Arsenal
J. Bijlow,Justin Bijlow,79,22500000,GK,GK,Netherlands,24,Feyenoord
